,geometry,toponyms,value_counts
56,POINT (40.21296 21.46576),"['قرن', 'قرن المنازل']",
57,POINT (52.02871 31.25559),"['خان روشن', 'خان اويس', 'خوارش']",
58,POINT (44.56313 13.90626),['هجر وبدر'],
59,POINT (31.74628 30.70963),['اطربية'],
60,POINT (8.13227 35.37489),['تبسا'],
61,POINT (49.83759 30.88498),['الجايزن'],
62,POINT (31.79922 30.57863),['خليج امير المؤمنين'],
63,POINT (69.81804 35.51814),"['بنجهير', 'بنجر']",
64,POINT (-3.78324 38.80312),"['قلعة رباح', 'قلعة رباط']",
65,POINT (47.57698 37.91236),['السرات'],
66,POINT (43.95691 13.61931),['شرعب'],
67,POINT (48.63061 36.45828),['سهرورد'],
68,POINT (59.74298 41.86361),"['وزارمند', 'اوزارمند']",
69,POINT (44.17683 13.97911),['الثجة'],
71,POINT (43.40292 15.3749),['ملحان'],
73,POINT (50.29984 31.71801),"['رستجرد', 'الدز']",
74,POINT (1.41141 38.94978),['يابسة'],
76,POINT (58.8598 32.62196),['كوكور'],
77,POINT (49.74164 35.13286),['بوستة'],
78,POINT (44.37788 14.43955),['عنس'],
79,POINT (30.93987 20.35618),['مريس'],
80,POINT (44.54578 32.25849),"['بداة', 'بداة']",
82,POINT (30.8512 30.96963),['محلة صرد'],
83,POINT (68.67012 36.03586),['طخارستان'],
85,POINT (69.90205 37.5917),['معبر بذخشان'],
86,POINT (14.1894 37.85376),['جاراس'],
87,POINT (45.80321 38.46017),['مرند'],
88,POINT (-0.9993300000000001 41.7827),['نهر ابره'],
89,POINT (32.19454 30.91373),['جرجير'],
90,POINT (-5.76776 41.44051),['سمورة'],
91,POINT (34.66888 31.87811),['ماحوز يبنا'],
92,POINT (30.99606 31.58612),"['برلس', 'برلس']",
93,POINT (51.7108 36.36237),['الرويان'],
94,POINT (51.77466 35.42345),['افريذين'],
95,POINT (42.86206 24.64886),['ضرية'],
96,POINT (48.55981 37.57057),['بروان'],
97,POINT (66.38343 31.85842),['رباط سراب'],
98,POINT (39.0919 23.06872),['وادي فرع'],
99,POINT (49.791 35.10371),['روذة'],
100,POINT (70.00883 40.99377),"['بنخاش', 'بنجخاش']",
101,POINT (57.73088 27.82747),"['رذبار', 'رذبال']",
102,POINT (44.11406 15.70742),['بوشان'],
104,POINT (34.95381 32.7475),['الكنيسة'],
105,POINT (57.78936 31.27116),"['شورروذ', 'شور دوازدة']",
106,POINT (10.10538 34.35352),"['الزيتونة', 'عين زيتونة', 'بئر زيتونة']",
107,POINT (46.64374 52.68645),['برطاس'],
108,POINT (42.9101 38.7788),"['بحيرة اخلاط', 'بحيرة خلاط', 'بحيرة ارجيش']",
109,POINT (36.4044 35.41665),['فامية'],
110,POINT (8.72082 35.80744),['ابة'],
111,POINT (44.46217 35.13976),['دقوقاء'],
112,POINT (44.44611 32.54156),['نهر سورا'],
113,POINT (61.49617 41.35412),['رباط ماش'],
115,POINT (35.96379 32.08487),['البلقاء'],
116,POINT (68.92955000000001 37.32188),['كاربنك'],
117,POINT (62.46952 35.0772),['كنج رستاق'],
118,POINT (61.61458 37.60594),['هرمز فره'],
119,POINT (54.72705 37.88855),"['بيلمك', 'سلمك']",
120,POINT (70.19287 42.45971),['بذخكث'],
121,POINT (50.90695 34.63354),['قم'],
122,POINT (-6.3954 39.46953),['قصراش'],
123,POINT (51.03513 29.44172),"['توز', 'توج !']",
124,POINT (27.94768 30.91449),"['كنائس الحديد', 'كنائس الحرير']",
125,POINT (60.2021 41.64105),"['ارذخشميثن', 'رخشميثن']",
126,POINT (44.39237 15.82412),['ارحب'],
127,POINT (31.18645 30.16277),['سردوس'],
128,POINT (62.95057 34.6968),['دهستان'],
130,POINT (33.80128 29.16755),['تيه بنو اسرائل'],
131,POINT (-9.191890000000001 38.64984),['المعدن'],
133,POINT (44.8461 32.97916),['السيب'],
134,POINT (35.56271 32.15774),['الاردن'],
135,POINT (31.62447 30.73556),['قربيت'],
136,POINT (38.49243 35.92575),['دوسر'],
137,POINT (38.29849 25.67549),['وادي القرى'],
139,POINT (54.61471 38.26671),['رباط دهستان'],
140,POINT (50.84322 36.18658),['طلقان'],
141,POINT (31.16142 30.43641),['بنها العسل'],
142,POINT (36.92899 31.64055),['العونيد'],
143,POINT (-2.41736 41.13714),['مدينة سالم'],
144,POINT (61.61613 30.7594),['زرنج'],
145,POINT (35.78604 27.3269),"['ضبا', 'ظبا']",
146,POINT (59.49915 36.42208),"['طوس', 'طابران']",
147,POINT (41.78238 37.72559),"['تل فافان', 'عين تل فافان']",
148,POINT (-3.64184 33.37702),['وادي ملوية'],
150,POINT (67.71106 39.8547),['رباط سعد'],
151,POINT (69.60096 39.93024),"['ارسبانيكث', 'سبانيكث']",
152,POINT (66.84894 29.79695),"['مستنج', 'مستنك']",
153,POINT (74.54582000000001 42.83233),['خرنجوان'],
155,POINT (29.91455 31.12142),['بحيرة مريوط'],
156,POINT (40.43747 35.1462),['قرقيسية'],
157,POINT (39.61765 37.92941),['جرنان'],
158,POINT (41.49366 38.01078),"['وادي صربط', 'نهر صربط', 'صربط']",
159,POINT (8.816090000000001 33.8038),"['بشرى', 'بشري']",
160,POINT (62.1842 30.83786),['نيشك'],
162,POINT (48.30854 42.04308),['باب الابواب'],
163,POINT (62.17614 40.44741),['درغان'],
164,POINT (69.98462000000001 40.91696),['نهر ايلاق'],
165,POINT (11.05807 35.49133),['مهدية'],
166,POINT (-0.35371 42.16109),['وشقة'],
167,POINT (36.58384 35.66884),['جبل السماق'],
168,POINT (35.67655 32.77421),"['عقبة الفيق', 'افيق', 'فيق']",
169,POINT (52.92548 29.97008),['اصطخر'],
170,POINT (59.49915 36.42208),"['طوس', 'طابران']",
171,POINT (56.97972 29.72844),['غبيراء'],
172,POINT (65.88026000000001 31.39074),['رباط الحجرية'],
174,POINT (65.58856 40.12063),['خديمنكان'],
175,POINT (55.206 37.19091),['جرجان'],
176,POINT (51.94541 30.04859),['الخرارة'],
177,POINT (58.76561 29.22421),['دارستان'],
178,POINT (41.95904 34.43481),['عانة'],
179,POINT (44.74355 14.16433),['دمث'],
181,POINT (66.59495 27.7765),['قصدار'],
182,POINT (36.7322 34.02567),['النبك'],
183,POINT (30.79 31.51979),"['اخنا', 'اجنا']",
184,POINT (69.15407 33.62249),['كرديز'],
185,POINT (52.22036 29.5682),['خان الاسد'],
186,POINT (-4.6284 34.13739),['نمالتة'],
187,POINT (38.71981 31.65819),['الاجيفر'],
188,POINT (44.81642 15.59445),['جوف همدان'],
189,POINT (48.76916 41.2707),['شابران'],
190,POINT (61.47787 34.35023),"['بوسنج', 'فشنج', 'بوشنك']",
191,POINT (64.39078000000001 31.39108),['بست'],
192,POINT (67.80206 34.84737),['الباميان'],
193,POINT (-5.11225 37.75423),['نهر قرطوبة'],
194,POINT (57.40729 32.65943),['اب شور'],
195,POINT (44.60835 12.8341),['المخنق'],
196,POINT (16.44486 31.18315),['القريتين'],
197,POINT (39.7655 37.22748),['تل موزن'],
198,POINT (21.21413 28.95651),['اوجلة'],
201,POINT (43.0017 16.70128),['وادي خلب'],
202,POINT (48.03005 30.46468),['بيان'],
203,POINT (64.42927 39.56944),['قاراجون'],
204,POINT (55.85631 23.89613),['حفيت'],
205,POINT (42.44873 18.77618),['جرش'],
206,POINT (51.45535 36.60408),"['شالوس', 'سالوس']",
208,POINT (54.29861 28.72175),['الماذون'],
209,POINT (48.26047 32.20166),['سوس'],
210,POINT (42.69628 35.79513),['الحضر'],
211,POINT (35.61434 32.43634),['فهل'],
212,POINT (-7.6357 31.44535),"['وريكة', 'اغمات وريكة']",
213,POINT (50.28728 33.18407),['خنجان'],
214,POINT (48.25553 33.8675),['لاشتر'],
215,POINT (51.9324 30.69092),"['كورد', 'كورد']",
216,POINT (53.73487 35.74424),['ريباط علياباذ'],
217,POINT (30.44108 31.05659),['قرطسا'],
219,POINT (56.81984 29.17945),['جبال معدن الفضة'],
220,POINT (58.11679 33.92591),['تون'],
221,POINT (31.17223 30.45947),['اتريب'],
222,POINT (72.79201 37.57252),['فامر'],
223,POINT (30.93316 30.68075),['طوة'],
224,POINT (32.51795 25.64017),['ارمنت'],
225,POINT (42.9635 36.81597),['معلثاية'],
226,POINT (49.23165 35.06556),['زرة'],
227,POINT (30.78944 30.67267),"['طنوب', 'طنوب']",
228,POINT (75.81567 41.16025),"['اطباش', 'طباش']",
229,POINT (67.29033 39.42539),"['وزكرد', 'وزكردة']",
230,POINT (70.91488 36.65244),"['سكلكند', 'اسكلكند']",
231,POINT (48.20426 32.16186),['نهر سوس'],
232,POINT (69.09689 37.5901),['نهر انديجاراغ'],
233,POINT (51.56268 32.40331),"['خان لنجان', 'خلنجان', 'خولنجان']",
234,POINT (39.82192 31.43199),['الحشية'],
235,POINT (33.54242 31.06734),['الورادة'],
236,POINT (59.86207 34.3105),['زوزن'],
