place,geometry,toponyms,value_counts
Q20301282,Point(43.148888888 16.585277777),['الحجار'],4.0
Q310892,Point(37.517777777 36.3725),"['مدينة الباب في سوريا', 'الباب']",4.0
Q1830802,Point(35.9325 34.478611111),"['منطقة المنية - لبنان', 'المنية']",4.0
Q20301501,Point(43.8925 13.176944444),['الحصن'],4.0
Q4837224,Point(37.1525 36.20388889),['باب الفرج'],4.0
Q3043115,Point(7.733333333 36.8),"['بلدية الحجار الجزائر', 'الحجار']",4.0
Q20304165,Point(43.313611111 16.667222222),['الشرفية'],3.0
Q292455,Point(43.739722222 15.495),"['الطويلة', 'المحويت, الطويله', 'الطويلة']",3.0
Q20300952,Point(43.810277777 13.147222222),['النوبة'],3.0
Q6810076,Point(36.226389 32.629444),"['صيدا, صيدا درعا, صيدا درعا', 'صيدا']",3.0
Q1032220,Point(43.583333333 33.383333333),"['الحبانيه', 'الحبانية']",3.0
Q4759,Point(-2.239166666 35.085),"['السعيديه, سعيدية', 'السعيدية']",3.0
Q12188471,Point(35.40527778 33.205),"['سلطانية, السلطانيه', 'السلطانية']",3.0
Q163490,Point(35.375833333 33.560555555),"['صيدون, صيداء', 'صيدا']",3.0
Q12194780,Point(-5.231666666 35.263888888),"['الوادي', 'الواد']",3.0
Q5637633,Point(44.16666667 15.3),"['مدينة حدة', 'قرمان']",3.0
Q1615560,Point(34.9 32.5),"['قيساري, قيساريه', 'قيسارية']",3.0
Q20305147,Point(43.787777777 13.477222222),['الطويلة'],3.0
Q20309471,Point(43.330555555 16.789166666),['وادي لية'],3.0
Q20305126,Point(43.740833333 16.301388888),['الطويلة'],3.0
Q581142,Point(30.660561111 28.535280555),"['بهنسا', 'البهنسا']",3.0
Q20309598,Point(44.744722222 16.178333333),['زهران'],3.0
Q20303366,Point(43.289722222 16.891111111),['العوالي'],3.0
Q20301374,Point(44.441111111 16.752777777),['الرحبة'],3.0
Q3574435,Point(2.85705 34.85076),"['زعفران', 'الزعفران']",3.0
Q335383,Point(31.091944444 29.251666666),"['ابو صير الملق', 'بني سويف, ابوصير الملق, ابوصير الملق', 'بنى سويف', 'ابو صير الملق']",3.0
Q20301363,Point(43.711388888 16.05),['الرحبة'],3.0
Q20301370,Point(45.701944444 14.393333333),['الرحبة'],3.0
Q12189814,Point(36.974162 35.766044),"['طويلة, الطويله', 'الدقهلية, قرية الطويله مركز طلخا محافظة الدقهليه', 'الطويلة']",3.0
Q20305344,Point(45.111111111 14.341388888),['الطويلة'],3.0
Q12225388,Point(43.28371 13.81789),"['الخوخة', 'عزلة الخوخة']",3.0
Q556095,Point(30.970277777 27.312777777),"['مدينة منفلوط', 'منفلوط']",3.0
Q20308988,Point(44.877777777 16.968333333),['تمر'],3.0
Q4518650,Point(29.8979 31.195),['بحري'],3.0
Q12219670,Point(30.864795 28.846069),"['صالح', 'بنى سويف', 'صالح', 'بني سويف']",3.0
Q20299885,Point(43.815277777 16.823333333),['الوادي'],3.0
Q20301417,Point(44.057777777 16.995277777),['الرحبة'],3.0
Q20305141,Point(45.388055555 14.700555555),['الطويلة'],3.0
Q21715097,Point(36.423611 36.0675),['السعيدية'],3.0
Q12204786,Point(31.0297 28.9462),"['جبل النور', 'بنى سويف', 'جبل النور', 'بني سويف']",3.0
Q20299881,Point(42.999444444 16.269166666),['الوادي'],3.0
Q12225978,Point(44.04501 13.99897),"['الوادي', 'عزلة الوادي']",3.0
Q4705033,Point(39.6167 24.45),"['العوالي المدينة المنورة', 'العوالي']",3.0
Q20301285,Point(43.246944444 17.380555555),['مسلم'],3.0
Q12225967,Point(43.86382 14.5886),"['النوبة', 'عزلة النوبة']",3.0
Q20305133,Point(43.435555555 16.338333333),['الطويلة'],3.0
Q20306221,Point(43.300555555 16.704722222),['قرمان'],3.0
Q20299388,Point(44.319444444 16.740833333),['عطية'],3.0
Q336966,Point(31.179722222 30.462777777),"['عزبة الزراعة', 'بنها']",3.0
Q20300069,Point(45.9975 14.523611111),['الحمراء'],2.0
Q20300051,Point(45.365833333 14.640833333),['الحمراء'],2.0
Q20300062,Point(43.6025 16.918055555),['الحمراء'],2.0
Q20304872,Point(43.237777777 17.165833333),['الطائفة'],2.0
Q20301788,Point(43.7725 13.259722222),['دار السلام'],2.0
Q20301114,Point(43.397777777 16.290833333),['النويرة'],2.0
Q20300077,Point(43.783611111 13.130277777),['الحمراء'],2.0
Q20302056,Point(43.336111111 17.269444444),['العارض'],2.0
Q20300040,Point(45.278055555 14.418055555),['الحمراء'],2.0
Q20302350,Point(45.114722222 14.87),['السبيل'],2.0
Q1960,Point(39.283333333 -6.8),['دار السلام'],2.0
Q20302571,Point(43.791666666 13.498888888),['الجديدة'],2.0
Q20304773,Point(43.287777777 17.477222222),['القوس'],2.0
Q12225535,Point(44.2234 14.07567),"['الشرف', 'عزلة الشرف']",2.0
Q12225943,Point(43.7777 14.29245),"['المنارة', 'عزلة المنارة']",2.0
Q12226544,Point(43.98928 13.84977),"['حمير', 'عزلة حمير']",2.0
Q12226543,Point(44.0843 14.72166),"['حمير', 'عزلة حمير']",2.0
Q12226513,Point(43.47486 15.91239),"['حجر', 'عزلة حجر']",2.0
Q12226481,Point(44.87983 14.02088),"['جبن', 'عزلة جبن']",2.0
Q339535,Point(10.6 36.416666666),['الحمامات'],2.0
Q3032873,Point(9.936082 36.850608),"['الجديده تونس', 'الجديدة']",2.0
Q2053785,Point(10.21 34.5),"['الغريبه', 'الغريبة']",2.0
Q2742252,Point(10.641975 35.48171),['كركر'],2.0
Q2462773,Point(44.38638889 40.05861111),"['سيس', 'ارارات']",2.0
Q219583,Point(-8.5228 33.2342),"['البريجة', 'الجديدة']",2.0
Q12186725,Point(-5.356944444 35.319166666),['الحمراء'],2.0
Q3055931,Point(-4.49912 32.25935),['الريش'],2.0
Q7399580,Point(-4.55 34.96666667),['الساحل'],2.0
Q16766656,Point(-4.045555555 33.932222222),['مغراوة'],2.0
Q28880168,Point(-4.433093002 35.108662588),['كركر'],2.0
Q12225277,Point(45.299622 15.07512),"['الجديدة', 'عزلة الجديدة']",2.0
Q12225231,Point(44.53635 13.75231),"['البيت', 'عزلة البيت']",2.0
Q20306483,Point(43.312222222 16.663055555),['المدرج'],2.0
Q20304302,Point(43.135833333 16.343333333),['الكسر'],2.0
Q20304195,Point(43.405 16.146111111),['الشرف'],2.0
