"place","enLabel","placeLabel","toponyms","geometry","typeLabel","country"
"Q1153491","Great Synagogue","مسجد عبد الله بن سلام","المعبد الاسرائيلي ب وهران, المعبد الاسرائيلي بوهران, مسجد عبدالله بن سلام، مسجد عبد الله بن سلام","Point(0.650277777 35.7)","synagogue","Q262"
"Q110236574","Al-Fath Mosque","مسجد الفتح","مسجد الفتح","Point(3.5563246 36.7238779)","building","Q262"
"Q25453544","Ali Bitchin Mosque","مسجد علي بتشين","مسجد علي بتشين","Point(3.0619106 36.7870337)","mosque","Q262"
"Q2957265","Santa Cruz chapel","كنيسة سانتا كروز","كنيسة سانتا كروز","Point(-0.66335 35.7098)","chapel","Q262"
"Q107319831","Sidi El Haloui Mosque","مسجد سيدي الحلوي","مسجد سيدي الحلوي","Point(-1.307944444 34.888055555)","mosque","Q262"
"Q25453602","El Barani Mosque","مسجد براني","مسجد براني","Point(3.05575 36.78447222)","mosque","Q262"
"Q25453737","Safir Mosque","مسجد سفير","مسجد سفير","Point(3.0580312 36.7833816)","mosque","Q262"
"Q3324913","Sidi Bel Hasan Mosque","مسجد سيدي بلحسن","مسجد سيدي بلحسن","Point(-1.3111 34.8828)","mosque","Q262"
"Q23012984","Djamaâ El Djazaïr","مسجد الجزائر","مسجد الجزائر","Point(3.138055555 36.735833333)","mosque","Q262"
"Q16831583","Monastery in Ghazali","دير الغزالي","دير الغزالي","Point(31.93138889 18.44166667)","monastery","Q1049"
"Q4022362","Masjid Al-Nilin","مسجد النيلين","مسجد النيلين","Point(32.487694 15.617639)","mosque","Q1049"
"Q1397224","Farouq mosque, Khartoum","جامع فاروق","جامع فاروق","Point(32.52055556 15.60466667)","mosque","Q1049"
"Q6707341","Zidani mosque","جامع الزيداني","جامع الزيداني","Point(35.56 32.79)","mosque","Q801"
"Q187702","Church of the Holy Sepulchre","كنيسة القيامة","كنيسةالقيامة, كنيسه القيامه، كنيسة القيامة","Point(35.22975 31.778444444)","patriarchal basilica","Q801"
